Changed database context to 'Practica'.

Anio                 Cantidad_de_Tsunamis

-------------------- --------------------

                1893                    1

                1897                    1

                1901                    2

                1906                    3

                1907                    3

                1914                    2

                1917                    2

                1918                    2

                1919                    1

                1920                    1

                1921                    1

                1922                    2

                1923                    4

                1925                    2

                1926                    1

                1927                    3

                1928                    4

                1929                    2

                1930                    2

                1931                    2

                1932                    3

                1933                    2

                1935                    2

                1936                    1

                1938                    8

                1939                    1

                1940                    2

                1941                    3

                1942                    1

                1943                    1

                1945                    1

                1946                    3

                1947                    2

                1948                    3

                1949                    1

                1950                    3

                1951                    1

                1952                    4

                1953                    2

                1956                    2

                1957                    2

                1958                    2

                1959                    4

                1960                    5

                1961                    8

                1962                    2

                1963                    4

                1964                    5

                1965                    6

                1966                    3

                1968                    7

                1969                    3

                1970                    1

                1971                    6

                1972                    4

                1973                    3

                1974                    5

                1975                    4

                1976                    2

                1977                    5

                1978                    5

                1979                    1

                1980                    1

                1981                    1

                1982                    2

                1983                    3

                1984                    1

                1991                    1

                1992                    4

                1993                    4

                1994                    9

                1995                   16

                1996                   11

                1997                    2

                2002                    3

                2003                    1



(76 rows affected)

